Компания;Банкрот?;год;Финансовые вложения (за исключением денежных эквивалентов);Внеоборотные активы;Запасы;Дебиторская задолженность;Денежные средства и денежные эквиваленты;Оборотные активы;Активы  всего;Нераспределенная прибыль (непокрытый убыток);Капитал и резервы;Долгосрочные обязательства;Заёмные средства (краткосрочные);Кредиторская задолженность;Краткосрочные обязательства;Пассивы всего;Выручка;Себестоимость продаж;Прибыль (убыток) от продажи;Проценты к уплате;Прибыль (убыток) до налогообложения ;Текущий налог на прибыль;Чистая прибыль (убыток);"Коэффициент абсолютной ликвидности где ОАНЛ – оборотные активы, наиболее ликвидные, к
которым относятся денежные средства и краткосрочные финансовые вложения; ТО – текущие обязательства, которые рассчитываются как сумма краткосрочных заемных средств, кредиторской задолженности и
прочих краткосрочных обязательств";ОА/КО;коэффициент финансовой зависимости [заемные средства/валюта баланса];Доля чистого оборотного капитала в активах [(ОА-КО)/общая величина активов];"Доля формирования активов за счет
нераспределенной прибыли [НП/Авсего]";рентабельность активов, рассчитанная исходя из прибыли до уплаты процентов и налогов;коэффициент оборачиваемости активов;коэффициент соотношения акционерного капитала и обязательств;(рентабельность собственного капитала, рассчитанная исходя из прибыли до налогообложения;доля формирования активов за счет заемных средств = Кфз;доля формирования активов за счет краткосрочных обязательств;"(коэффициент покрытия обязательств
оборотным капиталом";(коэффициент соотношения прибыли до уплаты процентов и налогов и суммы процентов к уплате;доля быстрореализуемых активов в общей величине активов;"(доля постоянного капитала в общей
сумме источников средств";"доля финансовых расходов
в выручке";"(коэффициент соотношения прибыли
до уплаты процентов и налогов и заемного
капитала";доля оборотного капитала в общей величине активов;"(рентабельность активов, рассчитанная
исходя из прибыли от продаж";"(коэффициент соотношения собственного
и заемного капиталов (ПОМЕНЯЛА: ЗАЕМН/СОБСТВ)";(коэффициент соотношения прибыли от продаж и краткосрочных обязательств;коэффициент соотношения оборотных активов и обязательств;"доля оборотного капитала в валюте
баланса";"коэффициент соотношения прибыли до
налогообложения и краткосрочных
обязательств";рентабельность собственного капитала;"рентабельность затрат на проданную (произведенную) продукцию, рассчитанная исходя из чистой
прибыли";коэффициент убыточности предприятия;(коэффициент соотношения кредиторской и дебиторской задолженностей gjvtyzkf vtcnfvb;(коэффициент убыточности продажи продукции);коэффициент загрузки активов;коэффициент обеспеченности собственными оборотными средствами;коэффициент менеджмента;(рентабельность собственного капитала, рассчитанная исходя из прибыли до налогообложения;(коэффициент оборачиваемости запасов ПОМЕНЯЛА МЕСТАМИ;коэффициент структуры капитала (леверидж));коэффициент рентабельности;(коэффициент эффективности;(коэффициент оборачиваемости совокупного капитала;Шеремет
ЁГВИНСКОЕ СЕЛЬПО;0;2020;0;14 213;12 246;484;7 826;20 556;34 769;1 188;24 866;0;6 864;3 039;9 903;34 769;103 776;80 646;3 433;0;2 101;0;1 188;0,395132788;2,075734626;0,284822687;0,306393627;0,034168368;0,060427392;2,984727775;2,510956276;0,084492882;0,284822687;0,284822687;2,075734626;0;0,239006011;0,715177313;0;0,212157932;0,591216313;0,098737381;0,276039572;0,346662627;2,075734626;0,591216313;0,212157932;0,04777608;0,014731047;0;0,159262915;0;0,33503893;0,518242849;0,033080866;0,084492882;0,118004163;2,510956276;0,034168368;0,011447734;4,173409475;0,523828698
ООО ~ЭЛЕКТРОР~;0;2020;0;126;1 016;201;625;1 842;1 968;0;1 404;0;0;564;564;1 968;6 031;5 123;908;0;864;148;716;0,554078014;3,265957447;0,286585366;0,649390244;0;0,43902439;3,06453252;2,489361702;0,615384615;0,286585366;0,286585366;3,265957447;0;0,419715447;0,713414634;0,024539877;1,531914894;0,93597561;0,461382114;0;1,609929078;3,265957447;0,93597561;1,531914894;0,50997151;0,139761858;0;0,356382979;0;0,326314044;0,693811075;0,150555463;0,615384615;0,168462941;2,489361702;0,363821138;0,118719947;4,295584046;0,706300813
ООО «82 РЕГИОН»;0;2019;0;0;364;118;2;484;484;0;31;100;0;353;353;484;927;853;74;0;34;7;27;0,002832861;1,371104816;0,935950413;0,270661157;0;0,070247934;1,915289256;0,087818697;1,096774194;0,935950413;0,729338843;1,371104816;0;0,247933884;0,064049587;0,007551241;0,075055188;1;0,152892562;0;0,209631728;1,068432671;1;0,09631728;0,870967742;0,031652989;0;0,33427762;0;0,522114347;0,064049587;0,0798274;1,096774194;0,392664509;0,068432671;0,055785124;0,029126214;29,90322581;0,977272727
ООО 01-СЕРВИС;0;2020;0;0;1 091;349;1 048;2 488;2 488;1 667;1 677;0;568;243;811;2 488;8 287;3 700;1 970;0;1 913;-246;1 667;0,646115906;3,067817509;0,32596463;0,67403537;0,670016077;0,768890675;3,330787781;2,067817509;1,14072749;0,32596463;0,32596463;3,067817509;0;0,561495177;0,67403537;-0,029685049;2,358816276;1;0,791800643;0,33870006;2,429099877;3,067817509;1;2,358816276;0,994036971;0,450540541;0;1,436213992;0;0,300229275;0,67403537;0,237721733;1,14072749;0,131651985;2,067817509;0,670016077;0,201158441;4,941562314;0,887459807
ООО 1 МЯСНАЯ КОМПАНИЯ;0;2020;0;0;3 714;6 615;2 282;12 611;12 611;2 172;2 212;0;0;10 399;10 399;12 611;158 765;151 124;1 903;0;1 841;-368;1 473;0,109722089;1,212712761;0,824597574;0,175402426;0,172230592;0,145983665;12,58940607;0,212712761;0,832278481;0,824597574;0,824597574;1,212712761;0;0,705495203;0,175402426;-0,002317891;0,177036253;1;0,150900008;0;0,182998365;1,212712761;1;0,177036253;0,665913201;0,009746963;0;0,636118858;0;0,079431865;0,175402426;0,011986269;0,832278481;0,023393065;0,212712761;0,116802791;0,009277864;71,7744123;1,530092776
ООО 1 НЬЮ;0;2020;0;0;17 116;6 193;430;23 878;23 878;-8 854;-7 854;0;0;31 732;31 732;23 878;19 339;14 377;-3 233;0;-6 713;0;-6 713;0,006775495;0,7524896;1,32892202;-0,32892202;-0,370801575;-0,281137449;0,809908703;-0,2475104;0,854723708;1,32892202;1,32892202;0,7524896;0;0,277368289;-0,32892202;0;-0,211553006;1;-0,135396599;0;-0,101884533;0,7524896;1;-0,211553006;0,854723708;-0,466926341;0,854723708;0,195165763;-0,347122395;1,234707069;-0,32892202;-0,167175138;0,854723708;0,885050933;-0,2475104;-0,281137449;-0,347122395;-2,462312198;1,606290309
ООО 7 КЕЙ;0;2020;0;173;5 010;1 712;7 546;14 268;14 441;12 659;12 909;0;0;1 532;1 532;14 441;46 636;25 633;21 003;0;18 909;0;18 909;2,462793734;9,313315927;0,106086836;0,881933384;0,876601343;1,309396856;3,229416245;8,426240209;1,464792006;0,106086836;0,106086836;9,313315927;0;0,641091337;0,893913164;0;12,3426893;0,98802022;1,454400665;0;13,70953003;9,313315927;0,98802022;12,3426893;1,464792006;0,737681894;0;1,117493473;0;0,309653487;0,892626857;0,450360237;1,464792006;0,107427738;8,426240209;1,309396856;0,405459302;3,612673329;0,747178173
ООО 7 СТОЛОВ;0;2020;0;1 876;803;16 720;16 973;34 496;36 372;0;4 470;3 544;1 096;27 263;28 359;36 372;76 743;75 525;1 218;0;1 167;396;771;0,299252442;1,216403963;0,87713076;0,168728692;0;0,03208512;2,109947212;0,157621919;0,261073826;0,87713076;0,779693171;1,216403963;0;0,926344441;0,122896734;0,00516008;0,036579632;0,948421863;0,033487298;0,245190157;0,042949328;1,081277623;0,948421863;0,041150957;0,172483221;0,01020854;0;0,613285405;0;0,473945506;0,075197124;0,015871154;0,261073826;0,010463495;0,140112215;0,021197625;0,010046519;17,16845638;1,706037611
ООО 7-Я;0;2020;1 076;682;65 857;9 764;17 001;93 757;94 439;-24 249;-24 049;0;57 407;60 199;118 488;94 439;383 082;312 719;-7 847;3 196;-7 814;0;-7 815;0,076566961;0,791278442;1,25465115;-0,261872743;-0,25676892;-0,048899289;4,056396192;-0,202965701;0,324919955;1,25465115;1,25465115;0,791278442;-1,444931164;0,283410455;-0,25465115;0,008342861;-0,038974411;0,992778407;-0,083090672;-2,387084702;-0,066226116;0,791278442;0,992778407;-0,065947607;0,324961537;-0,024990487;0,324961537;0,162195385;-0,020400332;0,246524243;-0,263777638;-0,020483865;0,324919955;0,171913585;-0,202965701;-0,082751829;-0,020400332;-15,92922783;1,540115842
ООО 12;0;2020;0;0;454;328;6;788;787;0;-368;0;194;961;1 155;787;500;531;-31;0;-371;0;-371;0,002597403;0,682251082;1,467598475;-0,466327827;0;-0,471410419;0,635324015;-0,318614719;1,008152174;1,467598475;1,467598475;0,682251082;0;0,424396442;-0,467598475;0;-0,321212121;1,001270648;-0,039390089;-0,527173913;-0,026839827;0,682251082;1,001270648;-0,321212121;1,008152174;-0,698681733;1,008152174;0,341311134;-0,742;1,574;-0,467005076;-0,062;1,008152174;0,908;-0,318614719;-0,471410419;-0,742;-1,358695652;1,891994917
ООО 12 ИСТОРИЙ;0;2020;0;208 720;595 816;261 718;192 610;1 067 506;1 276 226;560 466;560 482;115 341;113 687;472 521;600 403;1 276 226;3 038 526;1 139 826;635 663;926;554 133;-142 164;440 204;0,162319412;1,777982455;0,560828568;0,366003357;0,439158895;0,434922185;2,380868279;0,933509659;0,98867225;0,560828568;0,470451942;1,777982455;599,4157667;0,355993374;0,439171432;-0,046482406;0,775499341;0,836455299;0,498080277;0,202837915;1,058727222;1,491463428;0,836455299;0,922935095;0,785402564;0,386202806;0;0,553875912;0;0,420014836;0,329517586;0,209201106;0,98867225;0,196087182;0,783076072;0,344926369;0,144874192;5,421273118;0,815322678
ООО 24;0;2020;0;0;3 018;54;496;3 568;3 568;0;2 213;0;0;1 355;1 355;3 568;197 709;198 221;-512;0;-2 439;432;-2 871;0,18302583;2,633210332;0,379764574;0,620235426;0;-0,683576233;55,41171525;1,633210332;-1,102123814;0,379764574;0,379764574;2,633210332;0;0,154147982;0,620235426;0,00218503;-1,8;1;-0,143497758;0;-0,377859779;2,633210332;1;-1,8;-1,297333936;-0,014483834;-1,297333936;0,039852399;-0,014521342;0,018046725;0,620235426;-0,002589665;-1,102123814;0,015264859;1,633210332;-0,804652466;-0,014521342;89,33981021;0,533912556
ООО 24 ВОЛЬТА;0;2020;0;0;1 902;148;281;2 331;2 331;0;337;0;2;1 992;1 994;2 331;2 398;2 039;359;0;346;69;277;0,070461384;1,169007021;0,855426855;0,144573145;0;0,148434148;1,028743029;0,169007021;1,026706231;0,855426855;0,855426855;1,169007021;0;0,184041184;0,144573145;0,028773978;0,173520562;1;0,154011154;0,005934718;0,18004012;1,169007021;1;0,173520562;0,821958457;0,135850907;0;0,074297189;0;0,97206005;0,144573145;0,14970809;1,026706231;0,793160967;0,169007021;0,118833119;0,115512927;7,115727003;1,039468039
ООО 50 ГЕРЦ;0;2020;0;242;3 189;573;411;4 173;4 415;0;161;503;40;3 711;3 751;4 415;5 564;6 039;-475;0;-426;-36;-390;0,054785391;1,112503332;0,963533409;0,095583239;0;-0,096489241;1,260249151;0,042921887;-2,645962733;0,963533409;0,849603624;1,112503332;0;0,222876557;0,036466591;-0,006470165;-0,100141044;0,945186863;-0,107587769;0,248447205;-0,126632898;0,980959097;0,945186863;-0,113569715;-2,422360248;-0,064580229;-2,422360248;0,154405821;-0,070093458;0,793493889;-0,019410496;-0,085370237;-2,645962733;0,573148814;0,037846732;-0,088335221;-0,070093458;34,55900621;1,072480181
ООО 127 ВОЛЬТ;0;2020;0;0;2 160;4 915;1 205;8 280;8 280;1 247;1 247;965;-89;6 158;6 069;8 280;9 372;7 691;-123;0;-115;-101;-131;0,099275004;1,36431043;0,849516908;0,267028986;0,150603865;-0,013888889;1,131884058;0,205470423;-0,092221331;0,849516908;0,732971014;1,36431043;0;0,739130435;0,150603865;-0,010776782;-0,016349161;1;-0,014855072;-0,071371291;-0,02026693;1,177139608;1;-0,018948756;-0,105052125;-0,017032896;-0,105052125;0,79814875;-0,013977806;0,883482714;0,150603865;-0,0131242;-0,092221331;0,230473752;0,177281774;-0,015821256;-0,013977806;7,51563753;1,472101449
ООО 220 ВОЛЬТ.ЧЕЛЯБИНСК;0;2020;0;0;4 203;544;340;5 087;5 087;0;1 283;599;0;3 205;3 205;5 087;12 405;11 660;745;0;826;-39;865;0,053042122;1,587207488;0,74778848;0,36996265;0;0,162374681;2,438568901;0,400312012;0,643803585;0,74778848;0,63003735;1,587207488;0;0,173776293;0,25221152;-0,003143894;0,217139853;1;0,14645174;0;0,232449298;1,337276551;1;0,257722309;0,674201091;0,074185249;0;0,169734789;0;0,410076582;0,25221152;0,060056429;0,643803585;0,338814994;0,337276551;0,170041282;0,069729948;9,668745129;0,803813643
ООО 777;0;2020;0;940;1 018;0;236;1 254;2 194;0;1 945;0;0;249;249;2 194;8 487;8 120;367;0;314;3;311;0,473895582;5,036144578;0,11349134;0,458067457;0;0,143117593;3,868277119;7,81124498;0,161439589;0,11349134;0,11349134;5,036144578;0;0,107566089;0,88650866;0,000353482;1,261044177;0,571558797;0,167274385;0;1,473895582;5,036144578;0,571558797;1,261044177;0,159897172;0,038300493;0;0;0;0,25851302;0,801435407;0,043242606;0,161439589;0,119948156;7,81124498;0,141750228;0,036644279;4,363496144;0,221057429
ООО 911;0;2020;0;446;355;528;25;908;1 354;0;541;408;14;391;405;1 354;8 435;8 213;222;0;206;65;141;0,030864198;2,241975309;0,600443131;0,371491876;0;0,152141802;6,229689808;1,335802469;0,38077634;0,600443131;0,299113737;2,241975309;0;0,408419498;0,399556869;0,007705987;0,253382534;0,670605613;0,163958641;0,025878004;0,548148148;1,116851169;0,670605613;0,508641975;0,260628466;0,017167905;0;1,350383632;0;0,160521636;0,104625551;0,026318909;0,38077634;0,042086544;0,665436654;0,104135894;0,016716064;15,59149723;0,707533235
ООО XXI ВЕК;0;2020;0;2 598;0;-3 004;2;-3 002;-404;0;-1 217;0;0;813;813;-404;1 163;912;251;0;211;0;211;0,001230012;-3,692496925;-2,012376238;9,443069307;0;-0,522277228;-2,878712871;-1,496924969;-0,173377157;-2,012376238;-2,012376238;-3,692496925;0;7,430693069;3,012376238;0;0,259532595;7,430693069;-0,621287129;0;0,308733087;-3,692496925;7,430693069;0,259532595;-0,173377157;0,231359649;0;-3,69495695;0;-0,347377472;1,270819454;0,215821152;-0,173377157;0;-1,496924969;-0,522277228;0,181427343;-0,955628595;5,418316832
ООО А & К +;0;2011;0;1 017;346;695;3;1 044;2 061;464;564;656;0;841;841;2 061;4 961;5 070;-109;0;-145;6;-151;0,001783591;1,24137931;0,726346434;0,098495876;0,22513343;-0,070354197;2,40708394;0,670630202;-0,257092199;0,726346434;0,408054343;1,24137931;0;0,338670548;0,273653566;0,001209434;-0,096860387;0,506550218;-0,052886948;0;-0,12960761;0,69739479;0,506550218;-0,172413793;-0,267730496;-0,029783037;-0,267730496;0,826397146;-0,030437412;0,415440435;-0,433908046;-0,021971377;-0,257092199;0,069744003;0,376753507;-0,073265405;-0,030437412;8,796099291;0,746724891
ООО А Б С;0;2020;0;0;196;7 878;252;8 326;8 326;0;259;0;3;8 064;8 067;8 326;12 064;12 857;-793;0;56;11;45;0,015619189;1,032106111;0,968892626;0,031107374;0;0,006725919;1,44895508;0,032106111;0,216216216;0,968892626;0,968892626;1,032106111;0;0,976459284;0,031107374;0,000911804;0,006941862;1;-0,095243815;0,011583012;-0,098301723;1,032106111;1;0,006941862;0,173745174;0,003500039;0;0,976934524;0;0,69015252;0,031107374;-0,065732759;0,216216216;0,016246684;0,032106111;0,005404756;0,003730106;46,57915058;1,94535191
ООО А ГРУПП М;0;2018;0;0;4 264;10 474;32;14 770;14 770;0;-5 066;0;0;19 703;19 703;14 637;1 577;1 298;279;0;61;15;45;0,000812059;0,749632036;1,333987813;-0,333987813;0;0,004129993;0,106770481;-0,257118205;-0,012041058;1,333987813;1,333987813;0,749632036;0;0,711306703;-0,346109175;0,009511731;0,003095975;1;0,018889641;0;0,01416028;0,749632036;1,009086561;0,003095975;-0,008882748;0,034668721;0;0,531594173;0;9,365884591;-0,342992552;0,176918199;-0,012041058;2,703868104;-0,257118205;0,0030744;0,028535193;-0,311290959;2,06387921
ООО А-СЕЛЛЕР;0;2021;0;111;3 304;4 129;224;7 666;7 777;1 817;1 827;0;3 503;2 446;5 949;7 777;19 625;16 684;913;397;1 978;-376;1 602;0,018826694;1,288619936;0,764947923;0,220779221;0,233637649;0,305387682;2,523466632;0,307110439;1,082649152;0,764947923;0,764947923;1,288619936;5,982367758;0,559727401;0,234923492;0,001070064;0,399226761;0,985727144;0,117397454;1,917350848;0,153471172;1,288619936;0,985727144;0,332492856;0,876847291;0,096020139;0;1,688062142;0;0,396280255;0,223845552;0,046522293;1,082649152;0,168356688;0,307110439;0,205992028;0,081630573;10,74165298;1,324675325
ООО А-СЕРВИС;0;2020;1 651;0;797;3 000;0;5 448;5 448;666;676;818;0;3 954;3 954;5 448;5 877;1 734;50;0;92;-18;74;0,208775923;1,37784522;0,875917768;0,274229075;0,122246696;0,016886931;1,078744493;0,17096611;0,136094675;0,875917768;0,725770925;1,37784522;0;0,550660793;0,124082232;-0,003062787;0,019279128;1;0,00917768;0;0,012645422;1,141659681;1;0,023267577;0,109467456;0,042675894;0;0,758725341;0;0,927003573;0,124082232;0,008507742;0,136094675;0,135613408;0,141659681;0,013582966;0,012591458;8,693786982;1,579478708
ООО А-СЕРВИС-ТРАНС;0;2020;0;0;1 503;3;858;2 364;2 364;0;1 878;0;156;330;486;2 364;23 880;22 852;1 028;0;964;193;771;0,882716049;4,864197531;0,205583756;0,794416244;0;0,407783418;10,10152284;3,864197531;0,513312034;0,205583756;0,205583756;4,864197531;0;0,364213198;0,794416244;0,008082077;1,983539095;1;0,434856176;0,083067093;2,115226337;4,864197531;1;1,983539095;0,410543131;0,033738841;0;0,009090909;0;0,098994975;0,794416244;0,043048576;0,513312034;0,062939698;3,864197531;0,326142132;0,032286432;12,71565495;0,569796954
ООО А-СИЗ;0;2020;0;0;0;23;47;70;70;0;-105;0;0;175;175;70;521;499;22;0;-1;0;-1;0,134285714;0,4;2,5;-1,5;0;-0,014285714;7,442857143;-0,6;0,00952381;2,5;2,5;0,4;0;1;-1,5;0;-0,005714286;1;0,314285714;0;0,125714286;0,4;1;-0,005714286;0,00952381;-0,002004008;0,00952381;0,131428571;-0,001919386;0,134357006;-1,5;0,042226488;0,00952381;0;-0,6;-0,014285714;-0,001919386;-4,961904762;3,5
ООО А-СТ;0;2020;0;0;289;7 349;67;7 705;7 705;0;-20 213;0;0;27 918;27 918;7 705;44 019;48 066;-4 047;0;-4 185;3;-4 188;0,001199943;0,275986819;3,623361454;-2,623361454;0;-0,543153796;5,713043478;-0,724013181;0,207044971;3,623361454;3,623361454;0,275986819;0;0,962491888;-2,623361454;6,81524E-05;-0,149903288;1;-0,525243348;0;-0,144960241;0,275986819;1;-0,149903288;0,20719339;-0,087130196;0,20719339;0,263235189;-0,095140735;0,175038052;-2,623361454;-0,091937572;0,207044971;0,006565347;-0,724013181;-0,543543154;-0,095140735;-2,177756889;4,585853342
ООО А-СТАЙЛ;0;2020;0;0;4 200;3 853;1 634;9 687;9 687;3 379;3 389;0;0;6 298;6 298;9 687;15 521;12 876;284;0;223;-175;48;0,129723722;1,538107336;0,650149685;0,349850315;0,348818004;0,023020543;1,602250439;0,538107336;0,065801121;0,650149685;0,650149685;1,538107336;0;0,566429235;0,349850315;-0,011275047;0,035408066;1;0,029317642;0;0,045093681;1,538107336;1;0,035408066;0,01416347;0,003727866;0;0,611781518;0;0,624122157;0,349850315;0,01829779;0,065801121;0,270601121;0,538107336;0,004955094;0,003092584;4,579817055;1,21657892
ООО А-СТАЙЛ КОМПЬЮТЕРС;0;2021;0;0;0;479;6 396;6 875;6 875;2 131;2 141;0;0;4 734;4 734;6 875;21 480;19 933;1 279;0;1 227;-245;982;0,675538657;1,452260245;0,688581818;0,311418182;0,309963636;0,178472727;3,124363636;0,452260245;0,573096684;0,688581818;0,688581818;1,452260245;0;1;0,311418182;-0,011405959;0,259188847;1;0,186036364;0;0,270173215;1,452260245;1;0,259188847;0,458664176;0,049265038;0;0,101182932;0;0,320065177;0,311418182;0,059543762;0,573096684;0;0,452260245;0,142836364;0,045716946;10,032695;1,688581818
ООО А-СТАНДАРТ;0;2020;0;0;2 535;682;306;3 523;3 523;0;2 611;0;0;913;913;3 523;10 524;9 175;1 349;0;1 315;381;934;0,167579409;3,858707558;0,25915413;0,74084587;0;0,373261425;2,987226795;2,859802848;0,503638453;0,25915413;0,25915413;3,858707558;0;0,280442804;0,741129719;0,036202965;1,440306681;1;0,382912291;0;1,47754655;3,858707558;1;1,440306681;0,35771735;0,101798365;0;0,746987952;0;0,334758647;0,741129719;0,1281832;0,503638453;0,240877993;2,859802848;0,265114959;0,088749525;4,030639602;0,539596934
