Компания;Банкрот?;год;Финансовые вложения (за исключением денежных эквивалентов);Внеоборотные активы;Запасы;Дебиторская задолженность;Денежные средства и денежные эквиваленты;Оборотные активы;Активы  всего;Нераспределенная прибыль (непокрытый убыток);Капитал и резервы;Долгосрочные обязательства;Заёмные средства (краткосрочные);Кредиторская задолженность;Краткосрочные обязательства;Пассивы всего;Выручка;Себестоимость продаж;Прибыль (убыток) от продажи;Проценты к уплате;Прибыль (убыток) до налогообложения ;Текущий налог на прибыль;Чистая прибыль (убыток);"Коэффициент абсолютной ликвидности где ОАНЛ – оборотные активы, наиболее ликвидные, к
которым относятся денежные средства и краткосрочные финансовые вложения; ТО – текущие обязательства, которые рассчитываются как сумма краткосрочных заемных средств, кредиторской задолженности и
прочих краткосрочных обязательств";ОА/КО;коэффициент финансовой зависимости [заемные средства/валюта баланса];Доля чистого оборотного капитала в активах [(ОА-КО)/общая величина активов];"Доля формирования активов за счет
нераспределенной прибыли [НП/Авсего]";рентабельность активов, рассчитанная исходя из прибыли до уплаты процентов и налогов;коэффициент оборачиваемости активов;коэффициент соотношения акционерного капитала и обязательств;(рентабельность собственного капитала, рассчитанная исходя из прибыли до налогообложения;доля формирования активов за счет заемных средств = Кфз;доля формирования активов за счет краткосрочных обязательств;"(коэффициент покрытия обязательств
оборотным капиталом";(коэффициент соотношения прибыли до уплаты процентов и налогов и суммы процентов к уплате;доля быстрореализуемых активов в общей величине активов;"(доля постоянного капитала в общей
сумме источников средств";"доля финансовых расходов
в выручке";"(коэффициент соотношения прибыли
до уплаты процентов и налогов и заемного
капитала";доля оборотного капитала в общей величине активов;"(рентабельность активов, рассчитанная
исходя из прибыли от продаж";"(коэффициент соотношения собственного
и заемного капиталов (ПОМЕНЯЛА: ЗАЕМН/СОБСТВ)";(коэффициент соотношения прибыли от продаж и краткосрочных обязательств;коэффициент соотношения оборотных активов и обязательств;"доля оборотного капитала в валюте
баланса";"коэффициент соотношения прибыли до
налогообложения и краткосрочных
обязательств";рентабельность собственного капитала;"рентабельность затрат на проданную (произведенную) продукцию, рассчитанная исходя из чистой
прибыли";коэффициент убыточности предприятия;(коэффициент соотношения кредиторской и дебиторской задолженностей gjvtyzkf vtcnfvb;(коэффициент убыточности продажи продукции);коэффициент загрузки активов;коэффициент обеспеченности собственными оборотными средствами;коэффициент менеджмента;(рентабельность собственного капитала, рассчитанная исходя из прибыли до налогообложения;(коэффициент оборачиваемости запасов ПОМЕНЯЛА МЕСТАМИ;коэффициент структуры капитала (леверидж));коэффициент рентабельности;(коэффициент эффективности;(коэффициент оборачиваемости совокупного капитала;Шеремет
ООО 23 МОЗ;1;2013;2 721;6 245;5 542;37 777;2;43 321;49 566;1 108;10 247;0;8 616;30 703;39 319;49 566;104 298;102 771;1 527;1 017;434;76;358;0,034627025;1,101782853;0,793265545;0,08074083;0,022354033;0,029274099;2,10422467;0,260611918;0,04235386;0,793265545;0,793265545;1,101782853;1,426745329;0,76219586;0,206734455;0,010479587;0,036903278;0,874006375;0,030807408;0,840831463;0,038836186;1,101782853;0,874006375;0,011037921;0,034937055;0,003483473;0;1,230400938;0;0,475234424;0,092380139;0,014640741;0,04235386;0,053136206;0,260611918;0,007222693;0,003432472;10,17839368;1,610357907
ООО 25 РЕГИОН;1;2020;0;0;0;19 961;0;19 961;19 961;0;-15 755;0;8 313;27 403;35 716;19 961;29 062;33 194;-4 132;0;-6 637;0;-6 637;0;0,558881174;1,789289114;-0,789289114;0;-0,332498372;1,455939081;-0,441118826;0,421263091;1,789289114;1,789289114;0,558881174;0;1;-0,789289114;0;-0,18582708;1;-0,207003657;-0,527642018;-0,115690447;0,558881174;1;-0,18582708;0,421263091;-0,199945773;0,421263091;0,728423895;-0,228373821;0,686841924;-0,789289114;-0,14217879;0,421263091;0;-0,441118826;-0,332498372;-0,228373821;-1,844620755;2,789289114
ООО АА НЕЗАВИСИМОСТЬ ПРЕМЬЕР АВТО;1;2016;81 061;1 024 799;73 595;387 059;3 513;550 861;1 575 661;25 301;28 201;1 383 566;1 271;162 623;163 894;1 575 661;1 815 595;1 680 011;-169 394;106 987;-171 545;0;-139 648;0,258014326;3,361080943;0,982102115;0,245590263;0,016057388;-0,040972011;1,15227514;0,172068532;-6,082940321;0,982102115;0,104016029;3,361080943;-0,603419107;0,247878192;0,017897885;0,058926688;-0,041718687;0,349606292;-0,107506627;0,045069324;-1,033558275;0,355977537;0,349606292;-1,046682612;-4,951881139;-0,083123265;-4,951881139;2,380099986;-0,076915832;0,867848281;-1,809164199;-0,093299442;-6,082940321;0,040534921;0,018224057;-0,088628201;-0,076915832;64,38051842;0,403339932
ООО ААА НПА;1;2015;0;1 798 072;641 611;826 860;49 881;1 587 847;3 385 919;438 094;133 122;133 122;641 000;2 170 003;2 811 003;3 385 919;12 980 371;12 217 426;-640 574;105 552;65 947;0;44 967;0,008872456;0,564868483;0,86952021;-0,361247862;0,129387029;0,050650651;3,833633055;0,047357473;0,495387689;0,86952021;0,830203853;0,564868483;1,624782098;0,258937382;0,039316357;0,008131663;0,058251263;0,468955991;-0,189187633;4,815131984;-0,227880938;0,539327304;0,468955991;0,023460309;0,337787894;0,003680563;0;0,381040948;0;0,26084917;-1,048558205;-0,049349437;0,495387689;0,049429327;0,045216151;0,013280589;0,003464231;97,50733162;1,089141235
ООО АБСЕНТ;1;2020;292;1 173;68 606;65 511;2 167;140 708;141 881;-3 909;6 091;14 487;0;121 303;121 303;141 881;196 066;172 925;757;0;-4 142;25;-4 117;0,010135776;1,159971312;0,957069657;0,136769546;-0,027551258;-0,029193479;1,381904554;0,050213103;-0,680019701;0,957069657;0,854962962;1,159971312;0;0,477005378;0,042930343;0,000127508;-0,030502983;0,991732508;0,005335457;0;0,006240571;1,036217689;0,991732508;-0,034145899;-0,675915285;-0,023808009;-0,675915285;0,540060839;-0,020998031;0,723638979;0,034951815;0,003860945;-0,680019701;0,349912784;0,044856028;-0,029017275;-0,020998031;32,18945986;1,334026402
ООО АБСОЛЮТ КЛИНИНГ СЕРВИС;1;2020;2 400;789;3 530;42 927;6 659;56 446;57 235;2 637;2 658;0;706;52 871;54 577;57 235;125 740;112 847;1 542;45;629;-42;587;0,083760194;1,034245195;0,953559885;0,032654844;0,046073207;0,011776011;2,196907487;0,048701834;0,236644093;0,953559885;0,953559885;1,034245195;14,97777778;0,866357998;0,046440115;2,38588E-05;0,012349525;0,986214729;0,026941557;0,265613243;0,02825366;1,034245195;0,986214729;0,011525001;0,220842739;0,005201733;0;0,811919578;0;0,455185303;0,033111292;0,012263401;0,236644093;0,028073803;0,048701834;0,010255962;0,004668363;47,3062453;1,84437844
ООО А-ГЛАСС;1;2020;7 643;3 588;54 678;189 847;3 656;258 448;262 036;21 051;21 151;0;43 505;197 380;240 885;262 036;1 368 411;1 302 964;7 808;6 040;7 735;-1 593;6 142;0,0234531;1,07291031;0,919282083;0,067025142;0,08033629;0,052569113;5,22222519;0,087805384;0,365703749;0,919282083;0,919282083;1,07291031;2,280629139;0,738459601;0,080717917;0,003249755;0,057184964;0,986307225;0,029797432;2,056876743;0,032413807;1,07291031;0,986307225;0,032110758;0,290388161;0,004713868;0;0,961835039;0;0,191489253;0,067955643;0,005705888;0,365703749;0,039957294;0,087805384;0,023439527;0,004488418;64,69722472;1,686909432
ООО АЛЬЯНС МОТОРС;1;2015;25 750;783;87 272;122 129;206;235 387;236 171;15 605;15 615;41 641;99 198;79 717;178 915;236 171;273 836;247 942;-2 600;0;3 011;145;2 866;0,072537238;1,315635916;0,933882653;0,239114879;0,066075005;0,012749237;1,159481901;0,087276081;0,19282741;0,933882653;0,757565493;1,315635916;0;0,517993318;0,066117347;0,000529514;0,013651862;0,996680371;-0,011008972;6,352737752;-0,01453204;1,067243693;0,996680371;0,016829221;0,183541467;0,011559155;0;1,532032063;0;0,86245417;0,063011126;-0,009494734;0,19282741;0,318701705;0,070798346;0,012135275;0,010466118;17,53672751;1,384589979
ООО АНТИВИРУСНЫЙ ЦЕНТР;1;2017;0;270;7 265;95 401;79;102 841;103 111;12 060;12 068;1 807;6 794;82 302;89 236;103 111;71 842;55 830;-10 077;560;210;113;68;0,000442994;1,15246089;0,882961081;0,131945185;0,116961333;0,00746768;0,696744285;0,1352369;0,017401392;0,882961081;0,865436277;1,15246089;1,375;0,925992377;0,117038919;0,009367779;0,008457542;0,997381463;-0,097729631;0,562976467;-0,112925277;1,129587118;0,997381463;0,00235331;0,005634736;0,001217983;0;1,159157736;0;1,435246792;0,114720783;-0,14026614;0,017401392;0,10112469;0,13255275;0,000659483;0,000946522;5,953099105;1,790070894
ООО А-СТРОЙ;1;2017;0;0;0;15 780;99;15 879;15 879;1 210;1 220;0;100;14 559;14 659;15 879;43 549;38 997;588;0;400;2;277;0,003376765;1,083225322;0,923168965;0,076831035;0,076201272;0,025190503;2,742553057;0,083225322;0,327868852;0,923168965;0,923168965;1,083225322;0;1;0,076831035;4,59253E-05;0,027286991;1;0,03703004;0,081967213;0,040111877;1,083225322;1;0,027286991;0,22704918;0,00710311;0;1,08386565;0;0,364623757;0,076831035;0,013502032;0,327868852;0;0,083225322;0,017444423;0,006360651;35,69590164;1,923168965
